place,water_tap_id,lat,lon
Ardu lasteaed,1306,59.10128145,25.356203980043198
Are Põhikool,994,,
Are Vallamaja,994,,
Are Vesi töökoda,994,,
Arke Lihatööstus,503,,
Arkna Karjatalu,1905,59.392034499999994,26.3713947054242
Arkna küla Jõekalda tee 23,934,59.39647755,26.394854484692477
Arkna küla pumbajaam,934,59.39647755,26.394854484692477
Arma Ratsatalu puhkemaja köök,1896,59.548117500000004,26.37666934926787
Arnoldi Suveresidents,1918,,
Arsenal Keskus,306,59.45150675,24.71752957864732
Arstipunkt,1291,58.5009028,27.2339937
Arteesia kohviku kontrollkraan,1034,,
Aru 2 elamu,448,58.86891,23.839849392857143
Aru-Lepiku külalistemaja köök,1756,,
Aruheina Lasteaed,991,59.40116085,24.808262596755586
Aruküla Lasteaed Rukkilill,903,59.3640662,25.0784802
Aruküla Põhikool,903,59.364854699999995,25.076759564993804
Aruküla Tervisekeskus,903,,
Aruküla Vaba Waldorfkool,903,59.35838665,25.081398000574303
Aruküla küla veevärk,666,59.2050353,24.1460892
Arula külalistemaja köök,208,,
"Aruvälja Lasteaed-Algkool, Ahaste küla",722,,
As E-Piim hoidetünn nr 10,442,,
Aseri Keskkool,182,,
Aseri aleviku elumaja,182,,
Aseri pumbajaam,182,,
Assaku Lasteaed,991,59.38035015,24.83209511347355
Assamalla pumbamaja,1153,,
Aste lasteaia köök,749,,
Astri 3,991,59.37992199999999,24.710327533333334
Atria Eesti AS Valga tootmistsehh,201,57.7852538,26.05460944196387
Atsalama I küla veevärk,649,59.22836325,27.37913750832903
Atsalama II küla veevärk,651,59.22836325,27.37913750832903
Atsalama küla veevärk,648,59.22836325,27.37913750832903
Audentes Fitness,306,59.405292450000005,24.714818324553846
Audru Keskkool,172,,
Audru Kool,172,58.42211225,24.312831744460375
Audru kauplus,172,58.3768553,23.7987715
August Kitzbergi nim. Gümnaasiumi köögist,482,59.3866496,24.6572985
Aura veekeskuse sissendtrassi kraan,276,,
Auriga kaubanduskeskus,387,58.265444599999995,22.515943522066646
"Autopesula ""Jazz""",2078,58.881584399999994,25.537549276847386
"Auvere, Õhtu 6",180,59.343416000000005,27.937489498323018
Avinurme Gümnaasium,595,,
Avinurme Sots- ja Turvakeskus,595,,
Avinurme Vallavalitsus,595,,
